County,Total population,White Number,White perc,White median income,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,543","30,967",,,"18,103","9,383","28,762","32,630","24,209","18,699"
"Crockett County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"13,937","10,245",,,"1,493",97,66,11,692,"1,560"
    Percent Distribution,,,,,,,,,,
        Estimate,"13,937",73.50%,,,10.70%,0.70%,0.50%,0.10%,5.00%,11.20%
    Mean income (dollars),,,,,,,,,,
        Estimate,"32,495","33,243",,,"46,879",N,"66,320",N,"17,630","21,336"
"Cumberland County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"62,529","59,368",,,693,71,222,275,210,"2,106"
    Percent Distribution,,,,,,,,,,
        Estimate,"62,529",94.90%,,,1.10%,0.10%,0.40%,0.40%,0.30%,3.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"32,517","33,074",,,"11,969","16,538","30,239",N,"26,713","18,213"
"Davidson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"709,846","404,978",,,"178,861","2,385","24,115",350,"34,417","96,481"
    Percent Distribution,,,,,,,,,,
        Estimate,"709,846",57.10%,,,25.20%,0.30%,3.40%,0.00%,4.80%,13.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"48,394","60,560",,,"31,691","27,776","52,344","40,656","21,335","24,830"
"Decatur County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"11,499","10,530",,,353,9,108,0,67,406
    Percent Distribution,,,,,,,,,,
        Estimate,"11,499",91.60%,,,3.10%,0.10%,0.90%,0.00%,0.60%,3.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"26,073","27,177",,,"12,297",N,"16,827",-,"4,116","11,888"
"DeKalb County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"20,551","18,246",,,377,89,167,0,886,"1,551"
    Percent Distribution,,,,,,,,,,
        Estimate,"20,551",88.80%,,,1.80%,0.40%,0.80%,0.00%,4.30%,7.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,137","29,495",,,"13,089","11,610","11,929",-,"13,351","17,461"
"Dickson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"55,197","49,604",,,"2,191",97,51,0,689,"2,688"
    Percent Distribution,,,,,,,,,,
        Estimate,"55,197",89.90%,,,4.00%,0.20%,0.10%,0.00%,1.20%,4.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"37,163","37,166",,,"62,802","23,060","50,888",-,"33,877","24,712"
"Dyer County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"36,681","28,532",,,"5,459",25,140,12,592,"1,404"
    Percent Distribution,,,,,,,,,,
        Estimate,"36,681",77.80%,,,14.90%,0.10%,0.40%,0.00%,1.60%,3.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"37,628","38,277",,,"20,059","22,400","37,697",N,"50,137","108,495"
"Fayette County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"42,653","28,407",,,"11,500",26,270,0,914,"1,542"
    Percent Distribution,,,,,,,,,,
        Estimate,"42,653",66.60%,,,27.00%,0.10%,0.60%,0.00%,2.10%,3.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"42,294","49,844",,,"26,691","36,835","58,760",-,"32,395","28,118"
"Fentress County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"18,948","18,023",,,57,15,42,14,49,374
    Percent Distribution,,,,,,,,,,
        Estimate,"18,948",95.10%,,,0.30%,0.10%,0.20%,0.10%,0.30%,2.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"24,283","24,616",,,"12,086",N,"14,971",N,"44,186","15,753"
"Franklin County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"43,478","38,529",,,"2,015",155,336,0,635,"1,604"
    Percent Distribution,,,,,,,,,,
        Estimate,"43,478",88.60%,,,4.60%,0.40%,0.80%,0.00%,1.50%,3.70%
    Mean income (dollars),,,,,,,,,,
        Estimate,"32,926","33,574",,,"29,655","33,652","30,384",-,"25,306","26,035"
"Gibson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"50,610","38,495",,,"7,600",287,140,10,657,"1,607"
    Percent Distribution,,,,,,,,,,
        Estimate,"50,610",76.10%,,,15.00%,0.60%,0.30%,0.00%,1.30%,3.20%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,139","31,199",,,"22,807","35,680","47,472",N,"17,391","17,138"
"Giles County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"30,442","25,740",,,"2,618",40,115,0,386,844
    Percent Distribution,,,,,,,,,,
        Estimate,"30,442",84.60%,,,8.60%,0.10%,0.40%,0.00%,1.30%,2.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"34,348","36,194",,,"22,396","57,395","11,794",-,"13,051","19,947"
"Grainger County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"23,929","22,978",,,269,41,34,112,35,840
    Percent Distribution,,,,,,,,,,
        Estimate,"23,929",96.00%,,,1.10%,0.20%,0.10%,0.50%,0.10%,3.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,789","28,482",,,"22,530","16,815","182,321",N,"10,397","37,552"
"Greene County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"70,919","65,389",,,"1,371",144,392,67,575,"2,662"
    Percent Distribution,,,,,,,,,,
        Estimate,"70,919",92.20%,,,1.90%,0.20%,0.60%,0.10%,0.80%,3.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"30,170","30,827",,,"33,720","14,363","27,241","49,690","33,964","17,317"
"Grundy County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"13,665","12,920",,,59,12,49,0,2,231
    Percent Distribution,,,,,,,,,,
        Estimate,"13,665",94.50%,,,0.40%,0.10%,0.40%,0.00%,0.00%,1.70%
    Mean income (dollars),,,,,,,,,,
        Estimate,"24,411","24,046",,,"18,724","44,717","3,727",-,N,"54,749"
"Hamblen County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"64,930","53,306",,,"1,737",225,581,459,"2,488","9,561"
    Percent Distribution,,,,,,,,,,
        Estimate,"64,930",82.10%,,,2.70%,0.30%,0.90%,0.70%,3.80%,14.70%
    Mean income (dollars),,,,,,,,,,
