County,Total population,White Number,White perc,White median income,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
        Estimate,"5,062",96.00%,,,0.40%,0.10%,0.00%,0.00%,0.10%,0.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,784","29,367",,,"12,300",N,-,-,N,"13,785"
"Polk County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"17,702","16,094",,,144,18,52,0,103,369
    Percent Distribution,,,,,,,,,,
        Estimate,"17,702",90.90%,,,0.80%,0.10%,0.30%,0.00%,0.60%,2.10%
    Mean income (dollars),,,,,,,,,,
        Estimate,"33,714","34,332",,,"14,101","72,106","64,035",-,"27,181","29,859"
"Putnam County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"81,366","71,391",,,"2,016",406,946,0,"2,175","6,538"
    Percent Distribution,,,,,,,,,,
        Estimate,"81,366",87.70%,,,2.50%,0.50%,1.20%,0.00%,2.70%,8.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"30,508","31,898",,,"25,168","13,368","32,987",-,"21,099","18,399"
"Rhea County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"33,299","29,670",,,538,34,335,0,714,"2,032"
    Percent Distribution,,,,,,,,,,
        Estimate,"33,299",89.10%,,,1.60%,0.10%,1.00%,0.00%,2.10%,6.10%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,160","28,759",,,"29,142",N,"10,275",-,"31,554","22,208"
"Roane County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"54,403","49,989",,,"1,294",165,348,0,268,"1,225"
    Percent Distribution,,,,,,,,,,
        Estimate,"54,403",91.90%,,,2.40%,0.30%,0.60%,0.00%,0.50%,2.30%
    Mean income (dollars),,,,,,,,,,
        Estimate,"36,357","36,777",,,"44,171","9,832","42,680",-,"25,819","23,220"
"Robertson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"74,291","60,576",,,"5,233",162,502,11,"3,515","7,150"
    Percent Distribution,,,,,,,,,,
        Estimate,"74,291",81.50%,,,7.00%,0.20%,0.70%,0.00%,4.70%,9.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"36,135","38,435",,,"34,300","31,974","25,249",N,"19,121","21,287"
"Rutherford County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"351,591","239,171",,,"52,801",545,"12,486",643,"13,968","40,625"
    Percent Distribution,,,,,,,,,,
        Estimate,"351,591",68.00%,,,15.00%,0.20%,3.60%,0.20%,4.00%,11.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"37,294","41,410",,,"32,532","23,564","32,703","46,909","20,801","21,953"
"Scott County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"21,969","21,221",,,86,54,90,7,25,29
    Percent Distribution,,,,,,,,,,
        Estimate,"21,969",96.60%,,,0.40%,0.20%,0.40%,0.00%,0.10%,0.10%
    Mean income (dollars),,,,,,,,,,
        Estimate,"23,544","23,717",,,"13,029","15,933","18,141",N,"19,880","14,890"
"Sequatchie County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"16,409","15,304",,,77,17,130,20,366,719
    Percent Distribution,,,,,,,,,,
        Estimate,"16,409",93.30%,,,0.50%,0.10%,0.80%,0.10%,2.20%,4.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"26,368","26,779",,,"9,440",N,N,N,"13,739","10,619"
"Sevier County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"98,802","86,681",,,862,187,"1,179",50,"4,279","8,822"
    Percent Distribution,,,,,,,,,,
        Estimate,"98,802",87.70%,,,0.90%,0.20%,1.20%,0.10%,4.30%,8.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"33,686","35,337",,,"34,139","30,584","22,511",-,"16,194","19,314"
"Shelby County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"922,195","322,797",,,"487,064","3,604","26,373",974,"37,399","78,252"
    Percent Distribution,,,,,,,,,,
        Estimate,"922,195",35.00%,,,52.80%,0.40%,2.90%,0.10%,4.10%,8.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"37,666","56,671",,,"26,998","11,085","54,416","22,787","18,683","21,453"
"Smith County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"20,196","18,344",,,392,25,110,19,295,599
    Percent Distribution,,,,,,,,,,
        Estimate,"20,196",90.80%,,,1.90%,0.10%,0.50%,0.10%,1.50%,3.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"32,720","33,765",,,"31,287","52,956","26,341",N,"17,428","11,501"
"Stewart County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"13,859","12,915",,,179,17,83,0,12,399
    Percent Distribution,,,,,,,,,,
        Estimate,"13,859",93.20%,,,1.30%,0.10%,0.60%,0.00%,0.10%,2.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,881","30,257",,,"24,042","21,118","31,430",-,"37,183","11,007"
"Sullivan County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"159,693","148,653",,,"3,212",223,"1,328",0,"1,049","3,905"
    Percent Distribution,,,,,,,,,,
        Estimate,"159,693",93.10%,,,2.00%,0.10%,0.80%,0.00%,0.70%,2.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"35,143","36,055",,,"21,533","27,813","40,718",-,"23,672","21,249"
"Sumner County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"200,553","162,173",,,"17,253",404,"3,194",84,"5,891","13,759"
    Percent Distribution,,,,,,,,,,
        Estimate,"200,553",80.90%,,,8.60%,0.20%,1.60%,0.00%,2.90%,6.90%
    Mean income (dollars),,,,,,,,,,
        Estimate,"42,482","44,436",,,"35,579","22,598","53,933","43,850","22,828","26,025"
"Tipton County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"61,339","45,796",,,"11,419",156,305,0,822,"1,829"
    Percent Distribution,,,,,,,,,,
        Estimate,"61,339",74.70%,,,18.60%,0.30%,0.50%,0.00%,1.30%,3.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"33,312","35,918",,,"23,560","53,413","52,191",-,"25,683","33,162"
"Trousdale County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"11,805","9,508",,,"1,330",33,19,0,241,431
    Percent Distribution,,,,,,,,,,
        Estimate,"11,805",80.50%,,,11.30%,0.30%,0.20%,0.00%,2.00%,3.70%
    Mean income (dollars),,,,,,,,,,
        Estimate,"26,692","28,523",,,"15,868",N,N,-,"34,944","29,850"
"Unicoi County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"17,779","16,447",,,82,58,29,0,117,"1,143"
    Percent Distribution,,,,,,,,,,
        Estimate,"17,779",92.50%,,,0.50%,0.30%,0.20%,0.00%,0.70%,6.40%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,087","29,970",,,"15,628",N,N,-,"15,897","12,955"
"Union County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"20,141","19,180",,,111,0,4,0,61,447
    Percent Distribution,,,,,,,,,,
        Estimate,"20,141",95.20%,,,0.60%,0.00%,0.00%,0.00%,0.30%,2.20%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,725","29,653",,,"8,722",-,N,-,N,"27,185"
"Van Buren County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"6,293","5,983",,,24,13,13,0,15,29
    Percent Distribution,,,,,,,,,,
        Estimate,"6,293",95.10%,,,0.40%,0.20%,0.20%,0.00%,0.20%,0.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"27,404","28,303",,,N,N,N,-,N,"18,410"
"Warren County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"41,587","35,818",,,"1,172",55,249,24,"1,770","4,080"
    Percent Distribution,,,,,,,,,,
        Estimate,"41,587",86.10%,,,2.80%,0.10%,0.60%,0.10%,4.30%,9.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,619","30,275",,,"20,171","5,980","17,784",-,"13,106","16,878"
"Washington County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"134,693","118,113",,,"5,055",277,"2,153",34,"1,813","6,356"
    Percent Distribution,,,,,,,,,,
        Estimate,"134,693",87.70%,,,3.80%,0.20%,1.60%,0.00%,1.30%,4.70%
    Mean income (dollars),,,,,,,,,,
        Estimate,"36,493","37,991",,,"20,236","13,999","56,065",N,"26,119","21,453"
"Wayne County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"16,251","14,504",,,683,21,13,25,119,415
    Percent Distribution,,,,,,,,,,
        Estimate,"16,251",89.20%,,,4.20%,0.10%,0.10%,0.20%,0.70%,2.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,526","31,180",,,"9,710",N,N,-,"20,314","13,190"
"Weakley County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"32,959","28,560",,,"2,446",109,372,15,208,977
    Percent Distribution,,,,,,,,,,
        Estimate,"32,959",86.70%,,,7.40%,0.30%,1.10%,0.00%,0.60%,3.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"26,807","27,584",,,"15,198","43,320","42,883",N,"27,009","26,794"
"White County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"27,764","25,842",,,336,102,100,97,178,837
    Percent Distribution,,,,,,,,,,
        Estimate,"27,764",93.10%,,,1.20%,0.40%,0.40%,0.30%,0.60%,3.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"28,427","28,996",,,"21,853","23,621",N,N,"18,761","19,566"
"Williamson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"254,609","210,781",,,"9,676",428,"13,292",69,"3,338","14,809"
    Percent Distribution,,,,,,,,,,
        Estimate,"254,609",82.80%,,,3.80%,0.20%,5.20%,0.00%,1.30%,5.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"64,632","67,145",,,"51,148","48,688","69,422",-,"52,784","39,068"
"Wilson County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"153,587","126,077",,,"11,048",418,"3,164",0,"3,994","9,258"
    Percent Distribution,,,,,,,,,,
        Estimate,"153,587",82.10%,,,7.20%,0.30%,2.10%,0.00%,2.60%,6.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"45,461","45,481",,,"37,689","36,119","48,045",-,"109,201","23,988"
