county,median_income,hispanic_pct,black_pct,poverty_pct,ba_plus_pct,county_fips,year,urban_rural
Cheatham,77014,3.2,96.2,9.3,22.9,47021,2022,Rural
Chester,57471,1.8,97.1,15.8,16.4,47023,2022,Rural
Claiborne,42406,1,98.5,18.3,18.8,47025,2022,Rural
Clay,39572,2.2,97.2,22.3,12.3,47027,2022,Rural
Cocke,45110,1.2,97.2,20.1,11.7,47029,2022,Rural
Coffee,57424,3.8,94.8,16.9,23.3,47031,2022,Rural
Crockett,59136,9.3,88.5,15.6,15.5,47033,2022,Rural
Cumberland,56002,1.3,96.8,12.6,18.1,47035,2022,Rural
Decatur,48466,2.9,96.4,19.2,15.6,47039,2022,Rural
DeKalb,46907,4.6,91.6,20.2,20.4,47041,2022,Rural
Dickson,68492,2.5,95.8,10.9,19.3,47043,2022,Rural
Dyer,53150,3.3,96.2,16.3,21.6,47045,2022,Rural
Fayette,81074,3,96.8,9.7,25.7,47047,2022,Rural
Fentress,47884,1.4,98.2,20.2,16.3,47049,2022,Rural
Franklin,57933,2.7,96.2,14.5,21.8,47051,2022,Rural
Gibson,55455,2.9,97,13.9,18.5,47053,2022,Rural
Giles,56877,2.2,96.7,13.5,18.9,47055,2022,Rural
Grainger,47098,1,96.4,17.6,14.1,47057,2022,Rural
Greene,51975,2.1,96.7,15.6,18,47059,2022,Rural
Grundy,47948,1.4,98.4,18.2,13.6,47061,2022,Rural
Hancock,31809,0.9,99.3,32.3,9.9,47067,2022,Rural
Hardeman,43566,1.2,98,16.1,10.5,47069,2022,Rural
Hardin,46902,1.2,97.4,19.4,15.8,47071,2022,Rural
Hawkins,53647,1.7,98.2,16.9,16.8,47073,2022,Rural
Haywood,44890,3.7,95.7,21.9,12.2,47075,2022,Rural
Henderson,51576,1.3,97.3,18,13.8,47077,2022,Rural
Henry,48025,2,97.2,18.1,19,47079,2022,Rural
Hickman,54669,1.4,97.1,14.3,12.4,47081,2022,Rural
Houston,51544,0.2,97.2,13.4,11.4,47083,2022,Rural
Humphreys,54185,3.1,97.3,12,16.9,47085,2022,Rural
Jackson,42357,3.4,97.6,19.7,13.9,47087,2022,Rural
Jefferson,60393,2.7,96.1,11.1,21.1,47089,2022,Rural
Johnson,47571,1.3,97.7,21.6,14.9,47091,2022,Rural
Lake,32064,3.5,97.1,27.9,10.8,47095,2022,Rural
Lauderdale,46702,2.5,97.1,18,10.4,47097,2022,Rural
Lawrence,51038,2.3,97.5,16.1,15.6,47099,2022,Rural
Lewis,44613,1.9,97.4,18.9,9.3,47101,2022,Rural
Lincoln,61374,3.3,96.1,11.9,19.3,47103,2022,Rural
McMinn,57982,2.8,95.5,13.6,17.4,47107,2022,Rural
McNairy,46920,0.6,97.6,16.7,11.5,47109,2022,Rural
Macon,51215,4.7,94.7,16.5,9.9,47111,2022,Rural
Marion,58139,1.2,97.9,16.3,15.1,47115,2022,Rural
Marshall,65325,1.5,94,15.6,20.9,47117,2022,Rural
Maury,71500,3.7,93.4,8.9,25.9,47119,2022,Rural
Meigs,59434,3.3,98.8,15.4,11.5,47121,2022,Rural
Monroe,52123,5.5,95.4,16,15.6,47123,2022,Rural
Moore,69250,0.6,99.5,9.9,23.2,47127,2022,Rural
Morgan,51971,1,98.4,20.9,12.5,47129,2022,Rural
Obion,50638,5.3,94.9,16.1,17.2,47131,2022,Rural
Overton,46580,0.9,98.1,17.3,13.9,47133,2022,Rural
Perry,55978,0.9,99,14.2,10.7,47135,2022,Rural
Pickett,44317,2.3,97.8,21,18.2,47137,2022,Rural
Polk,53775,5.3,97.8,12.9,13.3,47139,2022,Rural
Putnam,54371,4.1,93.3,16.3,27.6,47141,2022,Rural
Rhea,55568,4.6,94.5,15.7,17.1,47143,2022,Rural
Roane,66460,1.9,97.8,12.2,21.9,47145,2022,Rural
Robertson,74440,6.1,92.3,10.3,21.1,47147,2022,Rural
