County,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
    Mean income (dollars),,,,,,,,
        Estimate,"35,135","38,519","29,448","24,571","31,198","39,211","19,005","20,647"
"Scott County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"21,917","21,243",71,38,85,4,69,50
    Percent Distribution,,,,,,,,
        Estimate,"21,917",96.90%,0.30%,0.20%,0.40%,0.00%,0.30%,0.20%
    Mean income (dollars),,,,,,,,
        Estimate,"22,273","22,565","13,141",N,"14,947",N,"5,813","14,576"
"Sequatchie County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"16,065","15,155",85,59,44,12,352,635
    Percent Distribution,,,,,,,,
        Estimate,"16,065",94.30%,0.50%,0.40%,0.30%,0.10%,2.20%,4.00%
    Mean income (dollars),,,,,,,,
        Estimate,"25,954","26,398","10,541","38,369",-,N,"14,615","12,450"
"Sevier County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"98,455","89,260",924,194,"1,202",35,"2,871","6,786"
    Percent Distribution,,,,,,,,
        Estimate,"98,455",90.70%,0.90%,0.20%,1.20%,0.00%,2.90%,6.90%
    Mean income (dollars),,,,,,,,
        Estimate,"31,603","32,619","26,788","30,414","20,592",-,"16,615","18,608"
"Shelby County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"926,440","339,650","498,214","2,192","26,723",371,"28,505","62,832"
    Percent Distribution,,,,,,,,
        Estimate,"926,440",36.70%,53.80%,0.20%,2.90%,0.00%,3.10%,6.80%
    Mean income (dollars),,,,,,,,
        Estimate,"36,230","53,744","25,357","10,211","51,018","18,598","16,988","20,037"
"Smith County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"20,034","18,259",377,24,90,0,269,639
    Percent Distribution,,,,,,,,
        Estimate,"20,034",91.10%,1.90%,0.10%,0.40%,0.00%,1.30%,3.20%
    Mean income (dollars),,,,,,,,
        Estimate,"31,446","32,443","29,613","55,063","26,966",-,"14,987","27,453"
"Stewart County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"13,724","12,689",101,20,75,103,62,492
    Percent Distribution,,,,,,,,
        Estimate,"13,724",92.50%,0.70%,0.10%,0.50%,0.80%,0.50%,3.60%
    Mean income (dollars),,,,,,,,
        Estimate,"28,362","29,065","22,804","18,275","21,823",-,"39,100","19,073"
"Sullivan County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"158,722","147,979","3,156",254,"1,225",12,"1,267","3,534"
    Percent Distribution,,,,,,,,
        Estimate,"158,722",93.20%,2.00%,0.20%,0.80%,0.00%,0.80%,2.20%
    Mean income (dollars),,,,,,,,
        Estimate,"33,934","34,700","21,575","24,611","42,520",N,"27,962","20,771"
"Sumner County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"196,845","162,426","16,573",287,"3,068",159,"4,884","11,143"
    Percent Distribution,,,,,,,,
        Estimate,"196,845",82.50%,8.40%,0.10%,1.60%,0.10%,2.50%,5.70%
    Mean income (dollars),,,,,,,,
        Estimate,"40,419","42,012","31,230","36,593","64,665","38,406","24,838","24,900"
"Tipton County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"61,116","46,532","11,312",108,341,0,560,"1,796"
    Percent Distribution,,,,,,,,
        Estimate,"61,116",76.10%,18.50%,0.20%,0.60%,0.00%,0.90%,2.90%
    Mean income (dollars),,,,,,,,
        Estimate,"31,909","34,160","23,765","50,326","35,748",-,"24,263","30,452"
"Trousdale County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"11,596","9,524","1,368",47,20,0,186,340
    Percent Distribution,,,,,,,,
        Estimate,"11,596",82.10%,11.80%,0.40%,0.20%,0.00%,1.60%,2.90%
    Mean income (dollars),,,,,,,,
        Estimate,"26,522","27,733","21,085","5,928",N,-,N,"34,811"
"Unicoi County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"17,845","16,788",53,65,27,0,319,"1,048"
    Percent Distribution,,,,,,,,
        Estimate,"17,845",94.10%,0.30%,0.40%,0.20%,0.00%,1.80%,5.90%
    Mean income (dollars),,,,,,,,
        Estimate,"27,930","28,223","15,091",N,-,-,"6,520","14,990"
"Union County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"19,860","18,994",109,0,5,0,63,394
    Percent Distribution,,,,,,,,
        Estimate,"19,860",95.60%,0.50%,0.00%,0.00%,0.00%,0.30%,2.00%
    Mean income (dollars),,,,,,,,
        Estimate,"28,174","27,969","13,450",-,N,-,"37,630","23,723"
"Van Buren County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"6,182","5,882",8,26,14,0,25,56
    Percent Distribution,,,,,,,,
        Estimate,"6,182",95.10%,0.10%,0.40%,0.20%,0.00%,0.40%,0.90%
    Mean income (dollars),,,,,,,,
        Estimate,"24,099","24,771",N,N,N,-,N,"18,550"
"Warren County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"41,163","35,577","1,145",139,176,22,"1,678","3,907"
    Percent Distribution,,,,,,,,
        Estimate,"41,163",86.40%,2.80%,0.30%,0.40%,0.10%,4.10%,9.50%
    Mean income (dollars),,,,,,,,
        Estimate,"27,059","28,421","18,951","5,505","23,484",-,"14,966","18,521"
"Washington County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"133,282","118,530","4,931",261,"2,094",0,"1,677","5,172"
    Percent Distribution,,,,,,,,
        Estimate,"133,282",88.90%,3.70%,0.20%,1.60%,0.00%,1.30%,3.90%
    Mean income (dollars),,,,,,,,
        Estimate,"35,562","36,992","20,006","13,945","50,827",-,"19,225","18,425"
"Wayne County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"16,325","14,645",786,15,22,24,127,386
    Percent Distribution,,,,,,,,
        Estimate,"16,325",89.70%,4.80%,0.10%,0.10%,0.10%,0.80%,2.40%
    Mean income (dollars),,,,,,,,
        Estimate,"26,538","28,191","7,942",N,N,-,"12,617","13,826"
"Weakley County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"32,946","28,807","2,593",130,390,18,196,988
    Percent Distribution,,,,,,,,
        Estimate,"32,946",87.40%,7.90%,0.40%,1.20%,0.10%,0.60%,3.00%
    Mean income (dollars),,,,,,,,
        Estimate,"26,820","27,850","14,966","31,661","34,949",N,"24,695","18,798"
"White County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"27,420","25,788",494,99,95,65,149,801
    Percent Distribution,,,,,,,,
        Estimate,"27,420",94.00%,1.80%,0.40%,0.30%,0.20%,0.50%,2.90%
    Mean income (dollars),,,,,,,,
        Estimate,"26,213","26,692","19,823","24,813","31,084",N,"12,497","15,075"
"Williamson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"248,897","210,242","9,729",497,"12,808",59,"2,660","12,682"
    Percent Distribution,,,,,,,,
        Estimate,"248,897",84.50%,3.90%,0.20%,5.10%,0.00%,1.10%,5.10%
    Mean income (dollars),,,,,,,,
        Estimate,"61,451","63,439","49,030","38,289","63,372",-,"50,224","37,922"
"Wilson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"149,096","124,995","10,464",193,"2,810",0,"3,357","7,519"
    Percent Distribution,,,,,,,,
        Estimate,"149,096",83.80%,7.00%,0.10%,1.90%,0.00%,2.30%,5.00%
    Mean income (dollars),,,,,,,,
        Estimate,"42,978","42,550","35,835","45,347","39,619",-,"121,084","22,592"
