"Label (Grouping)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)"
"Morgan County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","21,158","19,440","1,179","43","37","15","76","312"
"    Percent Distribution","","","","","","","",""
"        Estimate","21,158","91.9%","5.6%","0.2%","0.2%","0.1%","0.4%","1.5%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","23,436","25,129","706","19,144","N","-","N","5,041"
"Obion County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","30,722","25,251","3,325","30","133","32","561","1,506"
"    Percent Distribution","","","","","","","",""
"        Estimate","30,722","82.2%","10.8%","0.1%","0.4%","0.1%","1.8%","4.9%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","25,785","28,111","15,779","16,267","18,319","N","16,935","13,130"
"Overton County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","22,364","21,606","159","11","51","91","23","379"
"    Percent Distribution","","","","","","","",""
"        Estimate","22,364","96.6%","0.7%","0.0%","0.2%","0.4%","0.1%","1.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,741","25,130","8,069","N","17,831","-","52,035","16,285"
"Perry County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","8,313","7,602","61","99","188","0","43","81"
"    Percent Distribution","","","","","","","",""
"        Estimate","8,313","91.4%","0.7%","1.2%","2.3%","0.0%","0.5%","1.0%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","26,153","26,697","11,587","N","9,765","-","N","N"
"Pickett County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","5,021","4,865","5","0","0","0","33","138"
"    Percent Distribution","","","","","","","",""
"        Estimate","5,021","96.9%","0.1%","0.0%","0.0%","0.0%","0.7%","2.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","26,486","27,023","N","-","-","-","N","12,470"
"Polk County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","17,502","16,299","152","43","33","0","84","387"
"    Percent Distribution","","","","","","","",""
"        Estimate","17,502","93.1%","0.9%","0.2%","0.2%","0.0%","0.5%","2.2%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","28,838","29,282","13,591","N","56,303","-","6,761","25,019"
"Putnam County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","78,955","71,957","1,877","153","887","0","1,502","5,175"
"    Percent Distribution","","","","","","","",""
"        Estimate","78,955","91.1%","2.4%","0.2%","1.1%","0.0%","1.9%","6.6%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","26,602","27,148","18,265","10,099","31,289","-","27,873","19,035"
"Rhea County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","32,723","29,923","601","29","187","0","661","1,732"
"    Percent Distribution","","","","","","","",""
"        Estimate","32,723","91.4%","1.8%","0.1%","0.6%","0.0%","2.0%","5.3%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,815","25,726","18,104","N","8,108","-","25,183","17,531"
"Roane County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","53,313","49,557","1,586","286","400","19","185","1,107"
"    Percent Distribution","","","","","","","",""
"        Estimate","53,313","93.0%","3.0%","0.5%","0.8%","0.0%","0.3%","2.1%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","34,366","34,824","30,254","11,223","41,963","N","27,450","19,775"
"Robertson County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","72,309","61,126","5,191","169","486","36","2,958","5,332"
"    Percent Distribution","","","","","","","",""
"        Estimate","72,309","84.5%","7.2%","0.2%","0.7%","0.0%","4.1%","7.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","31,839","33,766","25,178","39,670","27,775","N","16,322","17,190"
"Rutherford County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","335,595","246,075","51,136","649","12,022","237","7,926","29,278"
"    Percent Distribution","","","","","","","",""
"        Estimate","335,595","73.3%","15.2%","0.2%","3.6%","0.1%","2.4%","8.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","33,121","36,204","26,742","31,589","28,123","26,442","18,233","20,858"
"Scott County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","21,855","21,272","90","35","104","0","12","114"
"    Percent Distribution","","","","","","","",""
"        Estimate","21,855","97.3%","0.4%","0.2%","0.5%","0.0%","0.1%","0.5%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","20,103","20,333","8,059","N","9,231","-","25,283","8,058"
"Sequatchie County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","15,727","14,972","67","39","0","11","300","592"
"    Percent Distribution","","","","","","","",""
"        Estimate","15,727","95.2%","0.4%","0.2%","0.0%","0.1%","1.9%","3.8%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,072","24,323","12,818","30,521","-","N","12,973","11,980"
"Sevier County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","98,088","90,766","1,104","209","1,079","23","1,691","6,495"
"    Percent Distribution","","","","","","","",""
"        Estimate","98,088","92.5%","1.1%","0.2%","1.1%","0.0%","1.7%","6.6%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","28,427","29,176","15,403","29,154","18,670","N","16,807","15,349"
"Shelby County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","929,178","348,349","499,760","2,235","25,754","616","26,101","61,285"
"    Percent Distribution","","","","","","","",""
"        Estimate","929,178","37.5%","53.8%","0.2%","2.8%","0.1%","2.8%","6.6%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","33,287","49,500","22,979","11,601","46,297","40,234","13,401","17,661"
"Smith County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","19,820","18,120","459","42","85","0","214","602"
"    Percent Distribution","","","","","","","",""
"        Estimate","19,820","91.4%","2.3%","0.2%","0.4%","0.0%","1.1%","3.0%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","28,507","29,406","15,764","44,057","23,078","-","19,835","55,367"
"Stewart County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","13,569","12,575","39","13","56","176","103","462"
"    Percent Distribution","","","","","","","",""
"        Estimate","13,569","92.7%","0.3%","0.1%","0.4%","1.3%","0.8%","3.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","26,513","27,331","29,254","13,892","24,268","N","20,132","14,343"
"Sullivan County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","157,843","148,075","3,033","292","1,123","31","1,070","3,302"
"    Percent Distribution","","","","","","","",""
"        Estimate","157,843","93.8%","1.9%","0.2%","0.7%","0.0%","0.7%","2.1%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","31,300","31,874","22,889","20,651","42,660","N","24,983","17,267"
"Sumner County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","193,036","162,160","15,497","333","2,971","134","3,934","10,454"
"    Percent Distribution","","","","","","","",""
"        Estimate","193,036","84.0%","8.0%","0.2%","1.5%","0.1%","2.0%","5.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","36,931","38,536","27,002","39,017","54,613","37,270","17,768","21,138"
"Tipton County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","60,868","46,381","11,198","76","454","0","685","1,750"
"    Percent Distribution","","","","","","","",""
"        Estimate","60,868","76.2%","18.4%","0.1%","0.7%","0.0%","1.1%","2.9%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","29,552","31,353","24,245","39,018","44,432","-","12,021","24,564"
"Trousdale County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","11,463","9,465","1,231","54","23","0","214","354"
"    Percent Distribution","","","","","","","",""
"        Estimate","11,463","82.6%","10.7%","0.5%","0.2%","0.0%","1.9%","3.1%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","22,234","24,449","10,873","14,426","N","-","N","20,212"
"Unicoi County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","17,891","16,948","67","31","17","0","307","1,008"
"    Percent Distribution","","","","","","","",""
"        Estimate","17,891","94.7%","0.4%","0.2%","0.1%","0.0%","1.7%","5.6%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","25,670","25,920","25,603","N","-","-","8,121","23,469"
"Union County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","19,597","18,865","115","0","8","9","65","362"
"    Percent Distribution","","","","","","","",""
"        Estimate","19,597","96.3%","0.6%","0.0%","0.0%","0.0%","0.3%","1.8%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","26,390","26,441","10,379","-","N","N","18,395","19,131"
"Van Buren County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","6,083","5,800","7","46","0","0","35","65"
"    Percent Distribution","","","","","","","",""
"        Estimate","6,083","95.3%","0.1%","0.8%","0.0%","0.0%","0.6%","1.1%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","22,144","22,285","N","N","-","-","N","14,740"
"Warren County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","40,801","36,193","1,261","142","268","29","1,326","3,823"
"    Percent Distribution","","","","","","","",""
"        Estimate","40,801","88.7%","3.1%","0.3%","0.7%","0.1%","3.2%","9.4%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,932","26,019","16,343","7,104","18,616","N","13,965","15,876"
"Washington County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","132,067","118,143","5,427","208","2,195","0","1,422","4,942"
"    Percent Distribution","","","","","","","",""
"        Estimate","132,067","89.5%","4.1%","0.2%","1.7%","0.0%","1.1%","3.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","32,225","33,463","19,329","10,086","43,638","-","15,999","17,057"
"Wayne County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","16,350","14,796","955","11","63","27","99","360"
"    Percent Distribution","","","","","","","",""
"        Estimate","16,350","90.5%","5.8%","0.1%","0.4%","0.2%","0.6%","2.2%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","23,699","24,460","10,543","-","N","-","9,976","16,997"
"Weakley County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","32,948","28,916","2,610","108","369","20","306","946"
"    Percent Distribution","","","","","","","",""
"        Estimate","32,948","87.8%","7.9%","0.3%","1.1%","0.1%","0.9%","2.9%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,744","25,646","14,695","30,498","32,663","N","15,695","20,123"
"White County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","27,134","25,645","478","37","68","49","117","747"
"    Percent Distribution","","","","","","","",""
"        Estimate","27,134","94.5%","1.8%","0.1%","0.3%","0.2%","0.4%","2.8%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","24,100","24,449","18,458","N","32,999","N","9,380","11,161"
"Williamson County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","242,386","207,982","9,794","482","11,891","74","2,464","12,061"
"    Percent Distribution","","","","","","","",""
"        Estimate","242,386","85.8%","4.0%","0.2%","4.9%","0.0%","1.0%","5.0%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","56,545","57,999","48,780","28,182","55,350","-","49,173","35,584"
"Wilson County, Tennessee","","","","","","","",""
"    Number","","","","","","","",""
"        Estimate","144,748","123,111","9,846","465","2,589","30","2,794","6,863"
"    Percent Distribution","","","","","","","",""
"        Estimate","144,748","85.1%","6.8%","0.3%","1.8%","0.0%","1.9%","4.7%"
"    Mean income (dollars)","","","","","","","",""
"        Estimate","39,449","38,706","34,002","34,908","33,716","N","130,263","20,639"
